Tensor_id,ActiveTime,InactiveTime
0,2317,2
1,2,2317
3,3,2316
4,1,2318
5,2312,7
6,4,2315
8,2,2317
9,1,2318
10,1,2318
11,2313,6
12,2313,6
13,1,2318
14,1,2318
15,1,2318
16,1,2318
19,2,2317
20,2,2317
22,3,2316
23,3,2316
24,2303,16
25,4,2315
27,2,2317
28,1,2318
29,1,2318
30,2304,15
31,2304,15
32,1,2318
33,1,2318
34,1,2318
35,1,2318
38,2,2317
39,2,2317
41,3,2316
42,3,2316
43,2294,25
44,4,2315
46,2,2317
47,1,2318
48,1,2318
49,2295,24
50,2295,24
51,1,2318
52,1,2318
53,1,2318
54,1,2318
57,2,2317
58,2287,32
59,2,2317
60,2,2317
62,3,2316
63,4,2315
64,2282,37
65,4,2315
67,2,2317
68,1,2318
69,1,2318
70,2283,36
71,2283,36
72,1,2318
73,1,2318
74,1,2318
75,1,2318
78,2,2317
79,2,2317
81,3,2316
82,3,2316
83,2273,46
84,4,2315
86,2,2317
87,1,2318
88,1,2318
89,2274,45
90,2274,45
91,1,2318
92,1,2318
93,1,2318
94,1,2318
97,2,2317
98,2,2317
100,3,2316
101,3,2316
102,2264,55
103,4,2315
105,2,2317
106,1,2318
107,1,2318
108,2265,54
109,2265,54
110,1,2318
111,1,2318
112,1,2318
113,1,2318
116,2260,59
117,2,2317
118,2258,61
120,3,2316
121,3,2316
122,3,2316
123,2252,67
125,3,2316
126,3,2316
127,3,2316
128,4,2315
129,2,2317
130,2,2317
132,3,2316
133,30,2289
134,2,2317
135,4,2315
137,2,2317
138,1,2318
139,1,2318
140,2242,77
141,2242,77
142,1,2318
143,1,2318
144,1,2318
145,1,2318
148,2240,79
149,7,2312
150,2,2317
152,3,2316
153,4,2315
154,2230,89
155,4,2315
157,2,2317
158,1,2318
159,1,2318
160,2231,88
161,2231,88
162,1,2318
163,1,2318
164,1,2318
165,1,2318
168,2,2317
169,2,2317
171,3,2316
172,3,2316
173,2221,98
174,4,2315
176,2,2317
177,1,2318
178,1,2318
179,2222,97
180,2222,97
181,1,2318
182,1,2318
183,1,2318
184,1,2318
187,2,2317
188,2,2317
190,3,2316
191,3,2316
192,2212,107
193,4,2315
195,2,2317
196,1,2318
197,1,2318
198,2213,106
199,2213,106
200,1,2318
201,1,2318
202,1,2318
203,1,2318
206,2208,111
207,2,2317
208,2206,113
210,3,2316
211,3,2316
212,3,2316
213,2200,119
215,3,2316
216,3,2316
217,3,2316
218,2,2317
219,2,2317
220,2195,124
221,29,2290
222,2,2317
224,3,2316
225,4,2315
226,2185,134
227,4,2315
229,2,2317
230,1,2318
231,1,2318
232,2186,133
233,2186,133
234,1,2318
235,1,2318
236,1,2318
237,1,2318
240,2,2317
241,2,2317
243,3,2316
244,3,2316
245,2176,143
246,4,2315
248,2,2317
249,1,2318
250,1,2318
251,2177,142
252,2177,142
253,1,2318
254,1,2318
255,1,2318
256,1,2318
259,2,2317
260,2,2317
262,3,2316
263,3,2316
264,2167,152
265,4,2315
267,2,2317
268,1,2318
269,1,2318
270,2168,151
271,2168,151
272,1,2318
273,1,2318
274,1,2318
275,1,2318
278,2163,156
279,2,2317
280,2161,158
282,3,2316
283,3,2316
284,3,2316
285,2155,164
287,3,2316
288,3,2316
289,3,2316
290,2,2317
291,2,2317
292,2150,169
293,29,2290
294,2,2317
296,3,2316
297,4,2315
298,2140,179
299,4,2315
301,2,2317
302,1,2318
303,1,2318
304,2141,178
305,2141,178
306,1,2318
307,1,2318
308,1,2318
309,1,2318
312,2,2317
313,2,2317
315,3,2316
316,3,2316
317,2131,188
318,4,2315
320,2,2317
321,1,2318
322,1,2318
323,2132,187
324,2132,187
325,1,2318
326,1,2318
327,1,2318
328,1,2318
331,2,2317
332,2,2317
334,3,2316
335,3,2316
336,2122,197
337,4,2315
339,2,2317
340,1,2318
341,1,2318
342,2123,196
343,2123,196
344,1,2318
345,1,2318
346,1,2318
347,1,2318
350,2118,201
351,2,2317
352,2116,203
354,3,2316
355,3,2316
356,3,2316
357,2110,209
359,3,2316
360,3,2316
361,3,2316
362,4,2315
363,2,2317
364,2,2317
366,3,2316
367,30,2289
368,2,2317
369,4,2315
371,2,2317
372,1,2318
373,1,2318
374,2100,219
375,2100,219
376,1,2318
377,1,2318
378,1,2318
379,1,2318
382,2098,221
383,7,2312
384,2,2317
386,3,2316
387,4,2315
388,2088,231
389,4,2315
391,2,2317
392,1,2318
393,1,2318
394,2089,230
395,2089,230
396,1,2318
397,1,2318
398,1,2318
399,1,2318
402,2,2317
403,2,2317
405,3,2316
406,3,2316
407,2079,240
408,4,2315
410,2,2317
411,1,2318
412,1,2318
413,2080,239
414,2080,239
415,1,2318
416,1,2318
417,1,2318
418,1,2318
421,2,2317
422,2,2317
424,3,2316
425,3,2316
426,2070,249
427,4,2315
429,2,2317
430,1,2318
431,1,2318
432,2071,248
433,2071,248
434,1,2318
435,1,2318
436,1,2318
437,1,2318
440,2066,253
441,2,2317
442,2064,255
444,3,2316
445,3,2316
446,3,2316
447,2058,261
449,3,2316
450,3,2316
451,3,2316
452,2,2317
453,2,2317
454,2053,266
455,29,2290
456,2,2317
458,3,2316
459,4,2315
460,2043,276
461,4,2315
463,2,2317
464,1,2318
465,1,2318
466,2044,275
467,2044,275
468,1,2318
469,1,2318
470,1,2318
471,1,2318
474,2,2317
475,2,2317
477,3,2316
478,3,2316
479,2034,285
480,4,2315
482,2,2317
483,1,2318
484,1,2318
485,2035,284
486,2035,284
487,1,2318
488,1,2318
489,1,2318
490,1,2318
493,2,2317
494,2,2317
496,3,2316
497,3,2316
498,2025,294
499,4,2315
501,2,2317
502,1,2318
503,1,2318
504,2026,293
505,2026,293
506,1,2318
507,1,2318
508,1,2318
509,1,2318
512,2021,298
513,2,2317
514,2019,300
516,3,2316
517,3,2316
518,3,2316
519,2013,306
521,3,2316
522,3,2316
523,3,2316
524,2,2317
525,2,2317
526,2008,311
527,29,2290
528,2,2317
530,3,2316
531,4,2315
532,1998,321
533,4,2315
535,2,2317
536,1,2318
537,1,2318
538,1999,320
539,1999,320
540,1,2318
541,1,2318
542,1,2318
543,1,2318
546,2,2317
547,2,2317
549,3,2316
550,3,2316
551,1989,330
552,4,2315
554,2,2317
555,1,2318
556,1,2318
557,1990,329
558,1990,329
559,1,2318
560,1,2318
561,1,2318
562,1,2318
565,2,2317
566,2,2317
568,3,2316
569,3,2316
570,1980,339
571,4,2315
573,2,2317
574,1,2318
575,1,2318
576,1981,338
577,1981,338
578,1,2318
579,1,2318
580,1,2318
581,1,2318
584,1976,343
585,2,2317
586,1974,345
588,3,2316
589,3,2316
590,3,2316
591,1968,351
593,3,2316
594,3,2316
595,3,2316
596,2,2317
597,2,2317
598,1963,356
599,29,2290
600,2,2317
602,3,2316
603,4,2315
604,1953,366
605,4,2315
607,2,2317
608,1,2318
609,1,2318
610,1954,365
611,1954,365
612,1,2318
613,1,2318
614,1,2318
615,1,2318
618,2,2317
619,2,2317
621,3,2316
622,3,2316
623,1944,375
624,4,2315
626,2,2317
627,1,2318
628,1,2318
629,1945,374
630,1945,374
631,1,2318
632,1,2318
633,1,2318
634,1,2318
637,2,2317
638,2,2317
640,3,2316
641,3,2316
642,1935,384
643,4,2315
645,2,2317
646,1,2318
647,1,2318
648,1936,383
649,1936,383
650,1,2318
651,1,2318
652,1,2318
653,1,2318
656,1931,388
657,2,2317
658,1929,390
660,3,2316
661,3,2316
662,3,2316
663,1923,396
665,3,2316
666,3,2316
667,3,2316
668,2,2317
669,2,2317
670,1918,401
671,29,2290
672,2,2317
674,3,2316
675,4,2315
676,1908,411
677,4,2315
679,2,2317
680,1,2318
681,1,2318
682,1909,410
683,1909,410
684,1,2318
685,1,2318
686,1,2318
687,1,2318
690,2,2317
691,2,2317
693,3,2316
694,3,2316
695,1899,420
696,4,2315
698,2,2317
699,1,2318
700,1,2318
701,1900,419
702,1900,419
703,1,2318
704,1,2318
705,1,2318
706,1,2318
709,2,2317
710,2,2317
712,3,2316
713,3,2316
714,1890,429
715,4,2315
717,2,2317
718,1,2318
719,1,2318
720,1891,428
721,1891,428
722,1,2318
723,1,2318
724,1,2318
725,1,2318
728,1886,433
729,2,2317
730,1884,435
732,3,2316
733,3,2316
734,3,2316
735,1878,441
737,3,2316
738,3,2316
739,3,2316
740,2,2317
741,2,2317
742,1873,446
743,29,2290
744,2,2317
746,3,2316
747,4,2315
748,1863,456
749,4,2315
751,2,2317
752,1,2318
753,1,2318
754,1864,455
755,1864,455
756,1,2318
757,1,2318
758,1,2318
759,1,2318
762,2,2317
763,2,2317
765,3,2316
766,3,2316
767,1854,465
768,4,2315
770,2,2317
771,1,2318
772,1,2318
773,1855,464
774,1855,464
775,1,2318
776,1,2318
777,1,2318
778,1,2318
781,2,2317
782,2,2317
784,3,2316
785,3,2316
786,1845,474
787,4,2315
789,2,2317
790,1,2318
791,1,2318
792,1846,473
793,1846,473
794,1,2318
795,1,2318
796,1,2318
797,1,2318
800,1841,478
801,2,2317
802,1839,480
804,3,2316
805,3,2316
806,3,2316
807,1833,486
809,3,2316
810,3,2316
811,3,2316
812,2,2317
813,2,2317
814,1828,491
815,29,2290
816,2,2317
818,3,2316
819,4,2315
820,1818,501
821,4,2315
823,2,2317
824,1,2318
825,1,2318
826,1819,500
827,1819,500
828,1,2318
829,1,2318
830,1,2318
831,1,2318
834,2,2317
835,2,2317
837,3,2316
838,3,2316
839,1809,510
840,4,2315
842,2,2317
843,1,2318
844,1,2318
845,1810,509
846,1810,509
847,1,2318
848,1,2318
849,1,2318
850,1,2318
853,2,2317
854,2,2317
856,3,2316
857,3,2316
858,1800,519
859,4,2315
861,2,2317
862,1,2318
863,1,2318
864,1801,518
865,1801,518
866,1,2318
867,1,2318
868,1,2318
869,1,2318
872,1796,523
873,2,2317
874,1794,525
876,3,2316
877,3,2316
878,3,2316
879,1788,531
881,3,2316
882,3,2316
883,3,2316
884,2,2317
885,2,2317
886,1783,536
887,29,2290
888,2,2317
890,3,2316
891,4,2315
892,1773,546
893,4,2315
895,2,2317
896,1,2318
897,1,2318
898,1774,545
899,1774,545
900,1,2318
901,1,2318
902,1,2318
903,1,2318
906,2,2317
907,2,2317
909,3,2316
910,3,2316
911,1764,555
912,4,2315
914,2,2317
915,1,2318
916,1,2318
917,1765,554
918,1765,554
919,1,2318
920,1,2318
921,1,2318
922,1,2318
925,2,2317
926,2,2317
928,3,2316
929,3,2316
930,1755,564
931,4,2315
933,2,2317
934,1,2318
935,1,2318
936,1756,563
937,1756,563
938,1,2318
939,1,2318
940,1,2318
941,1,2318
944,1751,568
945,2,2317
946,1749,570
948,3,2316
949,3,2316
950,3,2316
