Size_MB,Lifetime
73.5,2
588,1488
4.5,2
75,2
73.5,3
73.5,2
75,1480
75,2
75,3
0.195312,2
75,3
75,2
0.195312,1477
0.195312,2
75,1473
75,4
75,2
75,1471
75,3
0.195312,2
75,2
0.195312,2
0.195312,1468
0.195312,2
0.195312,1464
0.195312,2
0.195312,3
75,1462
0.195312,2
75,1461
75,9
75,2
75,2
75,5
75,2
75,1450
75,4
75,2
225,2
75,3
1.6875,3
75,1444
225,4
225,2
58.5938,1440
75,4
75,2
58.5938,1437
58.5938,5
58.5938,2
58.5938,1435
58.5938,3
0.5625,1430
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,1422
75,38
75,2
0.195312,2
75,3
75,2
0.195312,1419
0.195312,2
75,1415
75,4
75,2
75,1413
75,3
0.195312,2
75,2
0.195312,2
0.195312,1410
0.195312,2
0.195312,1406
0.195312,2
0.195312,3
75,1404
0.195312,2
75,1403
75,9
75,2
75,2
75,5
75,2
75,1392
75,4
75,2
300,2
75,3
2.25,3
300,1380
300,4
300,2
300,1384
300,5
300,2
300,2
300,3
300,1376
300,3
300,2
300,1373
300,9
300,2
300,1368
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,1360
75,41
75,2
0.195312,2
75,3
75,2
0.195312,1357
0.195312,2
75,1353
75,4
75,2
75,1351
75,3
0.195312,2
75,2
0.195312,2
0.195312,1348
0.195312,2
0.195312,1344
0.195312,2
0.195312,3
75,1342
0.195312,2
75,1341
75,9
75,2
75,2
75,5
75,2
75,1330
75,4
75,2
225,2
75,3
1.6875,3
75,1324
225,4
225,2
58.5938,1320
75,4
75,2
58.5938,1317
58.5938,5
58.5938,2
58.5938,1315
58.5938,3
0.5625,1310
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,1302
75,38
75,2
0.195312,2
75,3
75,2
0.195312,1299
0.195312,2
75,1295
75,4
75,2
75,1293
75,3
0.195312,2
75,2
0.195312,2
0.195312,1290
0.195312,2
0.195312,1286
0.195312,2
0.195312,3
75,1284
0.195312,2
75,1283
75,9
75,2
75,2
75,5
75,2
75,1272
75,4
75,2
300,2
75,3
2.25,3
300,1260
300,4
300,2
300,1264
300,5
300,2
300,2
300,3
300,1256
300,3
300,2
300,1253
300,9
300,2
300,1248
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,1240
75,41
75,2
0.195312,2
75,3
75,2
0.195312,1237
0.195312,2
75,1233
75,4
75,2
75,1231
75,3
0.195312,2
75,2
0.195312,2
0.195312,1228
0.195312,2
0.195312,1224
0.195312,2
0.195312,3
75,1222
0.195312,2
75,1221
75,9
75,2
75,2
75,5
75,2
75,1210
75,4
75,2
225,2
75,3
1.6875,3
75,1204
225,4
225,2
58.5938,1200
75,4
75,2
58.5938,1197
58.5938,5
58.5938,2
58.5938,1195
58.5938,3
0.5625,1190
58.5938,3
75,8
75,2
75,3
0.5625,4
75,2
75,4
75,2
75,1182
75,38
75,2
0.195312,2
75,3
75,2
0.195312,1179
0.195312,2
75,1175
75,4
75,2
75,1173
75,3
0.195312,2
75,2
0.195312,2
0.195312,1170
0.195312,2
0.195312,1166
0.195312,2
0.195312,3
75,1164
0.195312,2
75,1163
75,9
75,2
75,2
75,5
75,2
75,1152
75,4
75,2
300,2
75,3
2.25,3
300,1140
300,4
300,2
300,1144
300,5
300,2
300,2
300,3
300,1136
300,3
300,2
300,1133
300,9
300,2
300,1128
300,5
300,2
75,2
300,4
2.25,3
75,2
75,4
75,2
75,1120
75,41
75,2
0.195312,2
75,3
75,2
0.195312,1117
